LGBT rights in:,Same-sex sexual activity,Recognition of same-sex unions,Same-sex marriage,Adoption by same-sex couples,LGBT allowed to serve openly in military,Anti-discrimination laws concerning sexual orientation,Laws concerning gender identity/expression
Algeria Algeria,No Illegal since 1966,,,,,,
Penalty: Fine and up to 2 years imprisonment.[1][2],No,No,No,No,No,No,
Canary Islands Canary Islands,,,,,,,
(Autonomous community of Spain),Yes Legal since 1979,,,,,,
+ UN decl. sign.[1],Yes De facto unions legal since 2003[3],Yes Legal since 2005[4],Yes Legal since 2005[5],,,,
(+automatic co-parent recognition)[6],Yes Spain responsible for defence,Yes Bans all anti-gay discrimination[7],"Yes Since 2007, all documents can be amended to the recognised gender[8]",,,,
Ceuta Ceuta (Autonomous city of Spain),Yes Legal since 1979,,,,,,
+ UN decl. sign.[1],Yes De facto union since 1998[9],Yes Legal since 2005[10],Yes Legal since 2005[11],Yes Spain responsible for defence,Yes Bans all anti-gay discrimination[12],"Yes Since 2007, all documents can be amended to the recognised gender[8]",
Egypt Egypt,"Yes/No Male de jure legal, but de facto illegal since 2000.",,,,,,
Penalty: Up to 17 years imprisonment with or without hard labour and with or without fines under broadly-written morality laws,,,,,,,
Emblem-question.svg Female uncertain.[1][13],No,No,No,No,No,No,
Libya Libya,No Illegal since 1953[14],No,No,No,No,No,No
Madeira Madeira,,,,,,,
(Autonomous region of Portugal),Yes Legal since 1983,,,,,,
+ UN decl. sign.[1],Yes De facto union since 2001[15][16],Yes Legal since 2010[17],Yes Legal since 2016 (+automatic co-parent recognition)[18][19][20],Yes,Yes Bans all anti-gay discrimination.[7],Yes Since 2011. All documents can be amended to the recognised gender.[21],
Melilla Melilla (Autonomous city of Spain),Yes Legal since 1979,,,,,,
+ UN decl. sign.[1],Yes De facto union since 2008[22],Yes Legal since 2005[10],Yes Legal since 2005[11],Yes Spain responsible for defence,Yes Bans all anti-gay discrimination[12],"Yes Since 2007, all documents can be amended to the recognised gender[8]",
Morocco Morocco,,,,,,,
